id,name,lastname,price,flycode,typePassenger,statusFlight
192,Franchot,Aravena,12000.000000,TU6789B,EconomyClass,Aterrizado
193,Charisse,Vargas,50000.000000,TU6789B,EconomyClass,Aterrizado
194,Urban,Leiva,10000.000000,BA2491A,EconomyClass,Aterrizado
195,Fan,Escobar,18000.000000,BA2491A,EconomyClass,Aterrizado
196,Donaugh,Ruiz,12000.000000,BA2491A,EconomyClass,Aterrizado
197,Richard,Vidal,42000.000000,BA2491A,EconomyClass,Aterrizado
198,Hilary,Salinas,37000.000000,BA2491A,EconomyClass,Aterrizado
199,Lina,Godoy,12000.000000,TU6789B,EconomyClass,Aterrizado
200,Nerty,Lagos,20000.000000,TU6789B,EconomyClass,Aterrizado
201,Matias,Maldonado,33000.000000,TU6789B,EconomyClass,Aterrizado
202,Urbano,Bustos,50000.000000,TU6789B,EconomyClass,Aterrizado
203,Rosemarie,Medina,33000.000000,TU6789B,EconomyClass,Aterrizado
204,Booth,Pino,15000.000000,TU6789B,EconomyClass,Aterrizado
205,Eden,Palma,18000.000000,TU6789B,EconomyClass,Aterrizado
206,Cornie,Moreno,15000.000000,TU6789B,EconomyClass,Aterrizado
207,Isak,Sanhueza,20000.000000,TU6789B,EconomyClass,Aterrizado
208,Rand,Carvajal,20000.000000,TU6789B,EconomyClass,Aterrizado
209,Dominique,Navarrete,37000.000000,TU6789B,EconomyClass,Aterrizado
210,Filbert,Alvarado,20000.000000,TU6789B,EconomyClass,Aterrizado
211,Nona,Donoso,30000.000000,TU6789B,EconomyClass,Aterrizado
212,Melloney,Poblete,33000.000000,TU6789B,EconomyClass,Aterrizado
213,Rafaello,Bustamante,37000.000000,TU6789B,EconomyClass,Aterrizado
214,Floria,Toro,12000.000000,TU6789B,EconomyClass,Aterrizado
215,Johannes,Ortega,18000.000000,TU6789B,EconomyClass,Aterrizado
216,Genevra,Venegas,10000.000000,TU6789B,EconomyClass,Aterrizado
217,Aldric,Guerrero,50000.000000,TU6789B,EconomyClass,Aterrizado
218,Janeta,Mendoza,10000.000000,TU6789B,EconomyClass,Aterrizado
219,Tully,Ruiz,18000.000000,TU6789B,EconomyClass,Aterrizado
220,Buddy,Moreno,50000.000000,TU6789B,EconomyClass,Aterrizado
221,Neely,Romero,20000.000000,TU6789B,EconomyClass,Aterrizado
222,Klarrisa,Alonso,18000.000000,TU6789B,EconomyClass,Aterrizado
223,Clywd,Navarro,33000.000000,TU6789B,EconomyClass,Aterrizado
224,Deni,Torres,42000.000000,TU6789B,EconomyClass,Aterrizado
225,Andy,Ramos,37000.000000,TU6789B,EconomyClass,Aterrizado
226,Nanni,Rojas,25000.000000,BA2491A,EconomyClass,Aterrizado
227,Brigg,Soto,10000.000000,BA2491A,EconomyClass,Aterrizado
228,Crawford,Contreras,12000.000000,BA2491A,EconomyClass,Aterrizado
229,Fran,Silva,30000.000000,BA2491A,EconomyClass,Aterrizado
230,George,Morales,15000.000000,TU6789B,EconomyClass,Aterrizado
231,Demeter,Fuentes,10000.000000,TU6789B,EconomyClass,Aterrizado
232,Shauna,Torres,25000.000000,TU6789B,EconomyClass,Aterrizado
233,Anna-maria,Araya,42000.000000,TU6789B,EconomyClass,Aterrizado
234,Ag,Flores,50000.000000,TU6789B,EconomyClass,Aterrizado
235,Sherwin,Espinoza,50000.000000,MM0987B,ExecutiveClass,En Horario
236,Vikki,Valenzuela,33000.000000,MM0987B,ExecutiveClass,En Horario
237,Barret,Castillo,10000.000000,MM0987B,ExecutiveClass,En Horario
238,Gaelan,Tapia,25000.000000,MM0987B,ExecutiveClass,En Horario
239,Livy,Reyes,20000.000000,MM0987B,ExecutiveClass,En Horario
240,Charil,Castro,33000.000000,MM0987B,ExecutiveClass,En Horario
241,Easter,Pizarro,30000.000000,MM0987B,ExecutiveClass,En Horario
242,Willa,Carrasco,30000.000000,TU6789B,EconomyClass,Aterrizado
243,Mikael,Herrera,50000.000000,TU6789B,EconomyClass,Aterrizado
244,Sileas,Jara,20000.000000,TU6789B,EconomyClass,Aterrizado
245,Fidelia,Vergara,12000.000000,TU6789B,EconomyClass,Aterrizado
246,Frayda,Rivera,30000.000000,TU6789B,EconomyClass,Aterrizado
247,Babita,Figueroa,30000.000000,TU6789B,EconomyClass,Aterrizado
248,Clair,Riquelme,42000.000000,TU6789B,EconomyClass,Aterrizado
249,Skylar,Miranda,20000.000000,TU6789B,EconomyClass,Aterrizado
250,Dennie,Bravo,42000.000000,TU6789B,EconomyClass,Aterrizado
251,Sibley,Vera,20000.000000,TU6789B,EconomyClass,Aterrizado
252,Addia,Molina,20000.000000,TU6789B,EconomyClass,Aterrizado
253,Ed,Vega,18000.000000,TU6789B,EconomyClass,Aterrizado
254,Lothaire,Campos,12000.000000,TU6789B,EconomyClass,Aterrizado
255,Neila,Sandoval,15000.000000,TU6789B,EconomyClass,Aterrizado
256,Jennifer,Orellana,15000.000000,GU2345F,FirstClass,En Vuelo
257,Chuck,Olivares,33000.000000,GU2345F,FirstClass,En Vuelo
258,Minnnie,Gallardo,20000.000000,GU2345F,FirstClass,En Vuelo
259,Carine,Ortiz,33000.000000,GU2345F,FirstClass,En Vuelo
260,Kelly,Garrido,37000.000000,GU2345F,FirstClass,En Vuelo
261,Coleman,Salazar,25000.000000,GU2345F,FirstClass,En Vuelo
262,Wade,Saavedra,12000.000000,GU2345F,FirstClass,En Vuelo
263,Emmit,Navarro,12000.000000,GU2345F,FirstClass,En Vuelo
264,Brietta,Aguilera,42000.000000,GU2345F,FirstClass,En Vuelo
265,Wesley,Parra,10000.000000,GU2345F,FirstClass,En Vuelo
266,Felicdad,Romero,18000.000000,GU2345F,FirstClass,En Vuelo
267,Any,Aravena,18000.000000,GU2345F,FirstClass,En Vuelo
268,Gardie,Vargas,12000.000000,GU2345F,FirstClass,En Vuelo
269,Tam,Leiva,20000.000000,GU2345F,ExecutiveClass,En Vuelo
270,Davon,Escobar,20000.000000,GU2345F,ExecutiveClass,En Vuelo
271,Chrissy,Ruiz,18000.000000,GU2345F,ExecutiveClass,En Vuelo
272,Rina,Vidal,20000.000000,GU2345F,ExecutiveClass,En Vuelo
273,Guy,Salinas,42000.000000,GU2345F,ExecutiveClass,En Vuelo
274,Alexandr,Godoy,18000.000000,GU2345F,ExecutiveClass,En Vuelo
275,Margalit,Lagos,15000.000000,GU2345F,ExecutiveClass,En Vuelo
276,Samara,Maldonado,50000.000000,GU2345F,ExecutiveClass,En Vuelo
277,Portie,Bustos,15000.000000,GU2345F,ExecutiveClass,En Vuelo
278,Korella,Medina,33000.000000,GU2345F,ExecutiveClass,En Vuelo
279,Hilly,Pino,30000.000000,GU2345F,ExecutiveClass,En Vuelo
280,Leeanne,Palma,10000.000000,GU2345F,ExecutiveClass,En Vuelo
281,Arnaldo,Moreno,10000.000000,GU2345F,ExecutiveClass,En Vuelo
282,Kassi,Sanhueza,37000.000000,GU2345F,ExecutiveClass,En Vuelo
283,Karen,Carvajal,20000.000000,GU2345F,ExecutiveClass,En Vuelo
284,Mac,Navarrete,20000.000000,GU2345F,ExecutiveClass,En Vuelo
285,Marsiella,Alvarado,20000.000000,GU2345F,ExecutiveClass,En Vuelo
286,Shea,Donoso,12000.000000,GU2345F,ExecutiveClass,En Vuelo
287,Liana,Poblete,15000.000000,GU2345F,ExecutiveClass,En Vuelo
288,Carley,Bustamante,12000.000000,GU2345F,ExecutiveClass,En Vuelo
289,Carlye,Toro,37000.000000,GU2345F,ExecutiveClass,En Vuelo
290,Svend,Ortega,25000.000000,GU2345F,ExecutiveClass,En Vuelo
291,Kendell,Venegas,25000.000000,GU2345F,ExecutiveClass,En Vuelo
292,Chrisy,Guerrero,15000.000000,GU2345F,ExecutiveClass,En Vuelo
293,Rod,Mendoza,50000.000000,GU2345F,ExecutiveClass,En Vuelo
294,Micheil,Ruiz,37000.000000,GU2345F,EconomyClass,En Vuelo
295,Bartholomew,Moreno,33000.000000,GU2345F,EconomyClass,En Vuelo
296,Dorothea,Romero,15000.000000,GU2345F,EconomyClass,En Vuelo
297,Tamarah,Alonso,50000.000000,GU2345F,EconomyClass,En Vuelo
298,Minny,Navarro,33000.000000,GU2345F,EconomyClass,En Vuelo
299,Joshia,Torres,33000.000000,GU2345F,EconomyClass,En Vuelo
300,Conrado,Ramos,50000.000000,GU2345F,EconomyClass,En Vuelo
301,Bibbie,Rojas,37000.000000,GU2345F,EconomyClass,En Vuelo
302,Callie,Soto,50000.000000,GU2345F,EconomyClass,En Vuelo
303,Patton,Contreras,15000.000000,GU2345F,EconomyClass,En Vuelo
304,Karie,Silva,25000.000000,GU2345F,EconomyClass,En Vuelo
305,Patrice,Morales,37000.000000,GU2345F,EconomyClass,En Vuelo
306,Irena,Fuentes,20000.000000,MM0987B,EconomyClass,En Horario
307,Bird,Torres,18000.000000,MM0987B,EconomyClass,En Horario
308,Lorna,Araya,42000.000000,MM0987B,EconomyClass,En Horario
309,Vincents,Flores,25000.000000,MM0987B,EconomyClass,En Horario
310,Torrey,Espinoza,42000.000000,GU2345F,EconomyClass,En Vuelo
311,Pernell,Valenzuela,50000.000000,GU2345F,EconomyClass,En Vuelo
312,Danya,Castillo,25000.000000,GU2345F,EconomyClass,En Vuelo
313,Erda,Tapia,37000.000000,GU2345F,EconomyClass,En Vuelo
314,Ethe,Reyes,20000.000000,GU2345F,EconomyClass,En Vuelo
315,Sheridan,Castro,50000.000000,GU2345F,EconomyClass,En Vuelo
316,Charles,Pizarro,42000.000000,GU2345F,EconomyClass,En Vuelo
317,Helen-elizabeth,Carrasco,20000.000000,GU2345F,EconomyClass,En Vuelo
318,Maxi,Herrera,37000.000000,GU2345F,EconomyClass,En Vuelo
319,Dennison,Jara,25000.000000,GU2345F,EconomyClass,En Vuelo
320,Bunnie,Vergara,33000.000000,GU2345F,EconomyClass,En Vuelo
321,Frans,Rivera,33000.000000,BA2491A,EconomyClass,Aterrizado
322,Delmar,Figueroa,42000.000000,BA2491A,EconomyClass,Aterrizado
323,Ced,Riquelme,20000.000000,BA2491A,EconomyClass,Aterrizado
324,Christie,Miranda,18000.000000,BA2491A,EconomyClass,Aterrizado
325,Saunders,Bravo,25000.000000,BA2491A,EconomyClass,Aterrizado
326,Deny,Vera,18000.000000,GU2345F,EconomyClass,En Vuelo
327,Gene,Molina,15000.000000,GU2345F,EconomyClass,En Vuelo
328,Margeaux,Vega,18000.000000,GU2345F,EconomyClass,En Vuelo
329,Prisca,Campos,18000.000000,GU2345F,EconomyClass,En Vuelo
330,Domini,Sandoval,18000.000000,GU2345F,EconomyClass,En Vuelo
331,Henrie,Orellana,50000.000000,GU2345F,EconomyClass,En Vuelo
332,Mab,Olivares,25000.000000,GU2345F,EconomyClass,En Vuelo
333,Mathe,Gallardo,12000.000000,GU2345F,EconomyClass,En Vuelo
334,Gauthier,Ortiz,12000.000000,GU2345F,EconomyClass,En Vuelo
335,Delmore,Garrido,33000.000000,GU2345F,EconomyClass,En Vuelo
336,Lynett,Salazar,37000.000000,GU2345F,EconomyClass,En Vuelo
337,Aeriela,Saavedra,37000.000000,GU2345F,EconomyClass,En Vuelo
338,Babbie,Navarro,15000.000000,GU2345F,EconomyClass,En Vuelo
339,Caren,Aguilera,15000.000000,GU2345F,EconomyClass,En Vuelo
340,Jessamine,Parra,18000.000000,GU2345F,EconomyClass,En Vuelo
341,Hesther,Romero,15000.000000,GU2345F,EconomyClass,En Vuelo
342,Sasha,Aravena,15000.000000,GU2345F,EconomyClass,En Vuelo
343,Erica,Vargas,10000.000000,GU2345F,EconomyClass,En Vuelo
344,Lemmie,Leiva,18000.000000,GU2345F,EconomyClass,En Vuelo
345,Dur,Escobar,25000.000000,GU2345F,EconomyClass,En Vuelo
346,Modesta,Ruiz,33000.000000,GU2345F,EconomyClass,En Vuelo
347,Retha,Vidal,15000.000000,GU2345F,EconomyClass,En Vuelo
348,Carma,Salinas,33000.000000,GU2345F,EconomyClass,En Vuelo
349,Phillipe,Godoy,37000.000000,GU2345F,EconomyClass,En Vuelo
350,Florida,Lagos,37000.000000,HY4567D,FirstClass,Demorado
351,Corrina,Maldonado,15000.000000,HY4567D,FirstClass,Demorado
352,Adrianne,Bustos,10000.000000,HY4567D,FirstClass,Demorado
353,Scarlett,Medina,20000.000000,HY4567D,FirstClass,Demorado
354,Shel,Pino,25000.000000,HY4567D,FirstClass,Demorado
355,Delaney,Palma,50000.000000,HY4567D,FirstClass,Demorado
356,Tiphani,Moreno,33000.000000,HY4567D,FirstClass,Demorado
357,Grier,Sanhueza,42000.000000,HY4567D,FirstClass,Demorado
358,Annabell,Carvajal,15000.000000,HY4567D,FirstClass,Demorado
359,Basil,Navarrete,12000.000000,HY4567D,FirstClass,Demorado
360,Umeko,Alvarado,30000.000000,HY4567D,FirstClass,Demorado
361,Hayes,Donoso,10000.000000,HY4567D,FirstClass,Demorado
362,Lynnette,Poblete,37000.000000,HY4567D,FirstClass,Demorado
363,Hesther,Bustamante,33000.000000,HY4567D,FirstClass,Demorado
364,Trumaine,Toro,15000.000000,HY4567D,FirstClass,Demorado
365,Emlyn,Ortega,50000.000000,HY4567D,FirstClass,Demorado
366,Corabelle,Venegas,37000.000000,HY4567D,FirstClass,Demorado
367,Vic,Guerrero,25000.000000,HY4567D,FirstClass,Demorado
368,Cyndia,Mendoza,33000.000000,HY4567D,FirstClass,Demorado
